Ventana,Feature,PSI,KS/Chi2,Drift,Performance,Tipo,Metrica_secundaria,Severidad,Nivel_Drift,p_value_fdr,KS_statistic,Cramers_V,TVD,Delta_F1_vs_W1,Perdida_relativa_pct_vs_W1,Estado_performance
W1,TARGET,,0.014378841497485565,No,0.8143231444477278,Target,Chi2,Normal,0,0.9999999999956976,,0.003791944289871037,0.0020000000000000018,0.0,0.0,Estable
W1,b_mean,0.05009135716761112,0.074,No,0.8143231444477278,Feature numérica,KS,Normal,0,0.16174521245887594,0.074,,,0.0,0.0,Estable
W1,b_std,0.04189444427763604,0.052,No,0.8143231444477278,Feature numérica,KS,Normal,0,0.5551821445137307,0.052,,,0.0,0.0,Estable
W1,brightness_mean,0.0694569293267548,0.112,Warning,0.8143231444477278,Feature numérica,KS,Warning,1,0.005770818383042852,0.112,,,0.0,0.0,Estable
W1,contrast_std,0.07655987288636591,0.056,No,0.8143231444477278,Feature numérica,KS,Normal,0,0.4680974536236869,0.056,,,0.0,0.0,Estable
W1,edge_density,0.012050652228570661,0.036,No,0.8143231444477278,Feature numérica,KS,Normal,0,0.9026912216773312,0.036,,,0.0,0.0,Estable
W1,entropy,0.059843210409507804,0.05,No,0.8143231444477278,Feature numérica,KS,Normal,0,0.5894968472496889,0.05,,,0.0,0.0,Estable
W1,excess_green,0.03753725504033198,0.058,No,0.8143231444477278,Feature numérica,KS,Normal,0,0.44388604871971765,0.058,,,0.0,0.0,Estable
W1,g_mean,0.043148609004757976,0.08,No,0.8143231444477278,Feature numérica,KS,Normal,0,0.10404468920562213,0.08,,,0.0,0.0,Estable
W1,g_std,0.03773134013923246,0.056,No,0.8143231444477278,Feature numérica,KS,Normal,0,0.4680974536236869,0.056,,,0.0,0.0,Estable
W1,h_mean,0.051198371208088574,0.052,No,0.8143231444477278,Feature numérica,KS,Normal,0,0.5551821445137307,0.052,,,0.0,0.0,Estable
W1,laplacian_variance,0.02655073247653443,0.044,No,0.8143231444477278,Feature numérica,KS,Normal,0,0.7437095017452848,0.044,,,0.0,0.0,Estable
W1,r_mean,0.057028502579906756,0.082,No,0.8143231444477278,Feature numérica,KS,Normal,0,0.09240102092363338,0.082,,,0.0,0.0,Estable
W1,r_std,0.06411817079664185,0.036,No,0.8143231444477278,Feature numérica,KS,Normal,0,0.9026912216773312,0.036,,,0.0,0.0,Estable
