Ventana,Feature,KS_statistic,p_value,Magnitud_KS,Significativo_raw,Alpha,Referencia,p_value_fdr,Significativo_FDR,Interpretacion_KS
W1,brightness_mean,0.112,0.003751031948977854,Moderada,True,0.05,W0,0.005770818383042852,True,Cambio moderado con evidencia estadística
W1,v_mean,0.09,0.03479508043637821,Baja,True,0.05,W0,0.048551275027504476,True,"Diferencia estadísticamente significativa, pero de magnitud baja"
W1,r_mean,0.082,0.06930076569272504,Baja,False,0.05,W0,0.09240102092363338,False,Sin evidencia relevante de cambio
W1,g_mean,0.08,0.08150167321107067,Baja,False,0.05,W0,0.10404468920562213,False,Sin evidencia relevante de cambio
W1,b_mean,0.074,0.12939616996710074,Baja,False,0.05,W0,0.16174521245887594,False,Sin evidencia relevante de cambio
W1,excess_green,0.058,0.3699050405997647,Baja,False,0.05,W0,0.44388604871971765,False,Sin evidencia relevante de cambio
W1,g_std,0.056,0.41348608403425674,Baja,False,0.05,W0,0.4680974536236869,False,Sin evidencia relevante de cambio
W1,contrast_std,0.056,0.41348608403425674,Baja,False,0.05,W0,0.4680974536236869,False,Sin evidencia relevante de cambio
W1,b_std,0.052,0.5089169658042532,Baja,False,0.05,W0,0.5551821445137307,False,Sin evidencia relevante de cambio
W1,h_mean,0.052,0.5089169658042532,Baja,False,0.05,W0,0.5551821445137307,False,Sin evidencia relevante de cambio
W1,s_mean,0.05,0.5600220048872044,Baja,False,0.05,W0,0.5894968472496889,False,Sin evidencia relevante de cambio
W1,entropy,0.05,0.5600220048872044,Baja,False,0.05,W0,0.5894968472496889,False,Sin evidencia relevante de cambio
W1,laplacian_variance,0.044,0.7189191850204419,Baja,False,0.05,W0,0.7437095017452848,False,Sin evidencia relevante de cambio
W1,r_std,0.036,0.9026912216773312,Baja,False,0.05,W0,0.9026912216773312,False,Sin evidencia relevante de cambio
W1,edge_density,0.036,0.9026912216773312,Baja,False,0.05,W0,0.9026912216773312,False,Sin evidencia relevante de cambio
W2,laplacian_variance,0.232,3.2970936450072955e-12,Alta,True,0.05,W0,1.1636801100025749e-11,True,Cambio distributivo alto y estadísticamente significativo
W2,h_mean,0.168,1.4103236484921267e-06,Moderada,True,0.05,W0,3.1340525522047258e-06,True,Cambio moderado con evidencia estadística
W2,brightness_mean,0.164,2.7547859124150135e-06,Moderada,True,0.05,W0,5.903112669460743e-06,True,Cambio moderado con evidencia estadística
W2,v_mean,0.152,1.860514654705759e-05,Moderada,True,0.05,W0,3.721029309411518e-05,True,Cambio moderado con evidencia estadística
W2,r_mean,0.138,0.0001434246303518553,Moderada,True,0.05,W0,0.0002689211819097287,True,Cambio moderado con evidencia estadística
W2,b_mean,0.134,0.00024780650250526786,Moderada,True,0.05,W0,0.00045055727728230517,True,Cambio moderado con evidencia estadística
W2,s_mean,0.128,0.0005458774578140435,Moderada,True,0.05,W0,0.0009357899276812173,True,Cambio moderado con evidencia estadística
W2,edge_density,0.12,0.001478117952199697,Moderada,True,0.05,W0,0.002463529920332828,True,Cambio moderado con evidencia estadística
W2,entropy,0.118,0.0018769751767371433,Moderada,True,0.05,W0,0.003043743529844016,True,Cambio moderado con evidencia estadística
W2,g_std,0.108,0.005832082533064598,Moderada,True,0.05,W0,0.008748123799596897,True,Cambio moderado con evidencia estadística
W2,contrast_std,0.09,0.03479508043637821,Baja,True,0.05,W0,0.048551275027504476,True,"Diferencia estadísticamente significativa, pero de magnitud baja"
