Ventana,Feature,bin,limite_inferior,limite_superior,n_referencia,n_produccion,E_i,A_i,contribucion_psi
W1,r_mean,1,-inf,0.37364726364612577,50,56,0.1,0.112,0.0013599442236840364
W1,r_mean,2,0.37364726364612577,0.3969003438949585,50,40,0.1,0.08,0.004462871026284198
W1,r_mean,3,0.3969003438949585,0.4164361357688904,50,46,0.1,0.092,0.0006670528715124097
W1,r_mean,4,0.4164361357688904,0.4307249665260315,50,35,0.1,0.07,0.010700248318161968
W1,r_mean,5,0.4307249665260315,0.44608786702156067,50,37,0.1,0.074,0.007828732412381969
W1,r_mean,6,0.44608786702156067,0.461383193731308,50,54,0.1,0.108,0.000615688329089025
W1,r_mean,7,0.461383193731308,0.47506269812583923,50,45,0.1,0.09,0.001053605156578265
W1,r_mean,8,0.47506269812583923,0.49674575328826903,50,79,0.1,0.158,0.026530641128254765
W1,r_mean,9,0.49674575328826903,0.514967268705368,50,48,0.1,0.096,0.0001632879780810208
W1,r_mean,10,0.514967268705368,inf,50,60,0.1,0.12,0.00364643113587909
W1,g_mean,1,-inf,0.39802974462509155,50,47,0.1,0.094,0.0003712524223085255
W1,g_mean,2,0.39802974462509155,0.4167040944099426,50,38,0.1,0.076,0.006586484296842252
W1,g_mean,3,0.4167040944099426,0.4348749309778214,50,49,0.1,0.098,4.040541463503897e-05
W1,g_mean,4,0.4348749309778214,0.4472420334815979,50,42,0.1,0.084,0.002789654194316445
W1,g_mean,5,0.4472420334815979,0.45988763868808746,50,49,0.1,0.098,4.040541463503897e-05
W1,g_mean,6,0.45988763868808746,0.47063560485839845,50,39,0.1,0.078,0.005466149904566996
W1,g_mean,7,0.47063560485839845,0.48557070195674895,50,61,0.1,0.122,0.004374718892393632
W1,g_mean,8,0.48557070195674895,0.5022579789161683,50,50,0.1,0.1,0.0
W1,g_mean,9,0.5022579789161683,0.523125171661377,50,48,0.1,0.096,0.0001632879780810208
W1,g_mean,10,0.523125171661377,inf,50,77,0.1,0.154,0.02331625048697903
W1,b_mean,1,-inf,0.32209615409374237,50,54,0.1,0.108,0.000615688329089025
W1,b_mean,2,0.32209615409374237,0.3517120063304901,50,61,0.1,0.122,0.004374718892393632
W1,b_mean,3,0.3517120063304901,0.3703833550214768,50,45,0.1,0.09,0.001053605156578265
W1,b_mean,4,0.3703833550214768,0.3842268347740173,50,36,0.1,0.072,0.00919811387521702
W1,b_mean,5,0.3842268347740173,0.39924977719783783,50,38,0.1,0.076,0.006586484296842252
W1,b_mean,6,0.39924977719783783,0.41371705532073977,50,33,0.1,0.066,0.014127525094696638
W1,b_mean,7,0.41371705532073977,0.4304528832435608,50,54,0.1,0.108,0.000615688329089025
W1,b_mean,8,0.4304528832435608,0.4509573042392731,50,68,0.1,0.136,0.011069449190926587
W1,b_mean,9,0.4509573042392731,0.4780917286872864,50,54,0.1,0.108,0.000615688329089025
W1,b_mean,10,0.4780917286872864,inf,50,57,0.1,0.114,0.0018343956736896559
W1,r_std,1,-inf,0.10037743151187897,50,66,0.1,0.132,0.008884215571144946
W1,r_std,2,0.10037743151187897,0.11878091990947724,50,27,0.1,0.054,0.028344562413495592
W1,r_std,3,0.11878091990947724,0.14416560977697374,50,58,0.1,0.116,0.0023747200818923717
W1,r_std,4,0.14416560977697374,0.15985524654388428,50,52,0.1,0.104,0.00015688285261312404
W1,r_std,5,0.15985524654388428,0.16958289593458176,50,37,0.1,0.074,0.007828732412381969
W1,r_std,6,0.16958289593458176,0.18252760469913484,50,71,0.1,0.142,0.014727588607753098
W1,r_std,7,0.18252760469913484,0.19229528158903123,50,45,0.1,0.09,0.001053605156578265
W1,r_std,8,0.19229528158903123,0.20455068945884705,50,49,0.1,0.098,4.040541463503897e-05
