Clase,Originales_conservados,Duplicados_apartados,Total_antes_depuracion,Duplicados_%
Tomato___Bacterial_spot,2127,0,2127,0.0
Tomato___Early_blight,1000,0,1000,0.0
Tomato___Late_blight,1901,8,1909,0.41906757464641176
Tomato___Leaf_Mold,952,0,952,0.0
Tomato___Septoria_leaf_spot,1771,0,1771,0.0
Tomato___Spider_mites Two-spotted_spider_mite,1676,0,1676,0.0
Tomato___Target_Spot,1404,0,1404,0.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,5357,0,5357,0.0
Tomato___Tomato_mosaic_virus,373,0,373,0.0
Tomato___healthy,1585,6,1591,0.3771213073538655
